"Lattice Size", "NY", "Beta", "Tau", "Error"
0.02500000000000, 66, 0.50000000000000, 2.00000000000000, 0.03264087512292
0.02500000000000, 66, 0.50000000000000, 3.00000000000000, 0.07934288257696
0.01666666666667, 98, 0.50000000000000, 2.00000000000000, 0.01542630960672
0.01666666666667, 98, 0.50000000000000, 3.00000000000000, 0.03954102054190
0.01250000000000, 130, 0.50000000000000, 2.00000000000000, 0.00842338697026
0.02500000000000, 66, 0.50000000000000, 1.00000000000000, 0.00326067010277
0.01666666666667, 98, 0.50000000000000, 1.00000000000000, 0.00137694568118
0.01250000000000, 130, 0.50000000000000, 3.00000000000000, 0.02259968038470
0.01250000000000, 130, 0.50000000000000, 1.00000000000000, 0.00062626326789
0.01000000000000, 162, 0.50000000000000, 1.00000000000000, 0.00036879690817
0.01000000000000, 162, 0.50000000000000, 2.00000000000000, 0.00543479108205
0.01000000000000, 162, 0.50000000000000, 3.00000000000000, 0.01491267163740
0.00500000000000, 322, 0.50000000000000, 1.00000000000000, 0.00006996147432
0.00500000000000, 322, 0.50000000000000, 2.00000000000000, 0.00137143922770
0.00500000000000, 322, 0.50000000000000, 3.00000000000000, 0.00390969869613
