"Lattice Size", "NY", "Beta", "Tau", "Error"
0.02500000000000, 66, 0.50000000000000, 3.00000000000000, 0.01600751357661
0.02500000000000, 66, 0.50000000000000, 2.00000000000000, 0.01183105108358
0.01666666666667, 98, 0.50000000000000, 3.00000000000000, 0.00742076070812
0.01666666666667, 98, 0.50000000000000, 2.00000000000000, 0.00543924410948
0.01250000000000, 130, 0.50000000000000, 3.00000000000000, 0.00421252510756
0.02500000000000, 66, 0.50000000000000, 1.00000000000000, 0.00571667557369
0.01250000000000, 130, 0.50000000000000, 2.00000000000000, 0.00311813611189
0.01000000000000, 162, 0.50000000000000, 3.00000000000000, 0.00300823586969
0.01666666666667, 98, 0.50000000000000, 1.00000000000000, 0.00261791930820
0.01000000000000, 162, 0.50000000000000, 2.00000000000000, 0.00217174197422
0.02500000000000, 66, 0.50000000000000, 0.60000000000000, 0.00191747234811
0.01250000000000, 130, 0.50000000000000, 1.00000000000000, 0.00145896108712
0.01666666666667, 98, 0.50000000000000, 0.60000000000000, 0.00088520171024
0.01000000000000, 162, 0.50000000000000, 1.00000000000000, 0.00098789979977
0.01250000000000, 130, 0.50000000000000, 0.60000000000000, 0.00042055630838
0.00500000000000, 322, 0.50000000000000, 3.00000000000000, 0.00074032587295
0.02500000000000, 66, 0.50000000000000, 0.50500000000000, 0.00100485341582
0.00500000000000, 322, 0.50000000000000, 2.00000000000000, 0.00053137943794
0.01000000000000, 162, 0.50000000000000, 0.60000000000000, 0.00027003709520
0.01666666666667, 98, 0.50000000000000, 0.50500000000000, 0.00043948614700
0.00500000000000, 322, 0.50000000000000, 1.00000000000000, 0.00023875595448
0.01250000000000, 130, 0.50000000000000, 0.50500000000000, 0.00021633627299
0.00500000000000, 322, 0.50000000000000, 0.60000000000000, 0.00006344090799
0.01000000000000, 162, 0.50000000000000, 0.50500000000000, 0.00013052861670
