"Lattice Size", "NY", "Gamma", "Tau", "Error"
0.10526315789474, 11, 0.25000000000000, 3.00000000000000, 0.16743080867636
0.10526315789474, 11, 0.25000000000000, 2.00000000000000, 0.10513097288950
0.05128205128205, 21, 0.25000000000000, 3.00000000000000, 0.03920711818013
0.10526315789474, 11, 0.25000000000000, 1.00000000000000, 0.04283113710317
0.05128205128205, 21, 0.25000000000000, 2.00000000000000, 0.02461842304333
0.05128205128205, 21, 0.25000000000000, 1.00000000000000, 0.01002972790666
0.02531645569620, 41, 0.25000000000000, 3.00000000000000, 0.00949400933864
0.02531645569620, 41, 0.25000000000000, 2.00000000000000, 0.00596135470073
0.10526315789474, 11, 0.25000000000000, 0.60000000000000, 0.01791120278902
0.05128205128205, 21, 0.25000000000000, 0.60000000000000, 0.00419424982618
0.02531645569620, 41, 0.25000000000000, 1.00000000000000, 0.00242870003779
0.01680672268908, 61, 0.25000000000000, 3.00000000000000, 0.00417535374681
0.01680672268908, 61, 0.25000000000000, 2.00000000000000, 0.00262173374151
0.01257861635220, 81, 0.25000000000000, 3.00000000000000, 0.00233634338741
0.01680672268908, 61, 0.25000000000000, 1.00000000000000, 0.00106811363775
0.02531645569620, 41, 0.25000000000000, 0.60000000000000, 0.00101563788540
0.09523809523810, 11, 0.75000000000000, 3.00000000000000, 0.18678483261219
0.04878048780488, 21, 0.75000000000000, 3.00000000000000, 0.04961326234032
0.02469135802469, 41, 0.75000000000000, 3.00000000000000, 0.01279029283198
0.01257861635220, 81, 0.25000000000000, 2.00000000000000, 0.00146700626394
0.01652892561983, 61, 0.75000000000000, 3.00000000000000, 0.00574351006848
0.09523809523810, 11, 0.75000000000000, 2.00000000000000, 0.10601301310437
0.04878048780488, 21, 0.75000000000000, 2.00000000000000, 0.02815887862574
0.02469135802469, 41, 0.75000000000000, 2.00000000000000, 0.00725935538986
0.01652892561983, 61, 0.75000000000000, 2.00000000000000, 0.00325983001518
0.01242236024845, 81, 0.75000000000000, 3.00000000000000, 0.00324747649732
0.09523809523810, 11, 0.75000000000000, 1.00000000000000, 0.02524119359636
0.04878048780488, 21, 0.75000000000000, 1.00000000000000, 0.00670449491011
0.02469135802469, 41, 0.75000000000000, 1.00000000000000, 0.00172841791957
0.01242236024845, 81, 0.75000000000000, 2.00000000000000, 0.00184316230367
0.01652892561983, 61, 0.75000000000000, 1.00000000000000, 0.00077614985475
0.09523809523810, 11, 0.75000000000000, 0.60000000000000, 0.00706753420831
0.04878048780488, 21, 0.75000000000000, 0.60000000000000, 0.00187725863105
0.01257861635220, 81, 0.25000000000000, 1.00000000000000, 0.00059766895973
0.02469135802469, 41, 0.75000000000000, 0.60000000000000, 0.00048395736910
0.01680672268908, 61, 0.25000000000000, 0.60000000000000, 0.00044666486589
0.09523809523810, 11, 0.75000000000000, 0.50500000000000, 0.01474085758059
0.04878048780488, 21, 0.75000000000000, 0.50500000000000, 0.00391542722714
0.01242236024845, 81, 0.75000000000000, 1.00000000000000, 0.00043884788569
0.01652892561983, 61, 0.75000000000000, 0.60000000000000, 0.00021732294011
0.01257861635220, 81, 0.25000000000000, 0.60000000000000, 0.00024993283491
0.09090909090909, 11, 1.00000000000000, 3.00000000000000, 0.18343519953710
0.04761904761905, 21, 1.00000000000000, 3.00000000000000, 0.05151307022108
0.02439024390244, 41, 1.00000000000000, 3.00000000000000, 0.01367791775874
0.01639344262295, 61, 1.00000000000000, 3.00000000000000, 0.00620441173500
0.02531645569620, 41, 0.25000000000000, 0.50500000000000, 0.00068002633216
0.09090909090909, 11, 1.00000000000000, 2.00000000000000, 0.09711275269606
0.04761904761905, 21, 1.00000000000000, 2.00000000000000, 0.02727162541129
0.02439024390244, 41, 1.00000000000000, 2.00000000000000, 0.00724125057534
0.01639344262295, 61, 1.00000000000000, 2.00000000000000, 0.00328468855704
0.01234567901235, 81, 1.00000000000000, 3.00000000000000, 0.00352599755982
0.09090909090909, 11, 1.00000000000000, 1.00000000000000, 0.01079030585520
0.04761904761905, 21, 1.00000000000000, 1.00000000000000, 0.00303018060161
0.02439024390244, 41, 1.00000000000000, 1.00000000000000, 0.00080458337705
0.01234567901235, 81, 1.00000000000000, 2.00000000000000, 0.00186670453061
0.01639344262295, 61, 1.00000000000000, 1.00000000000000, 0.00036496525172
0.09090909090909, 11, 1.00000000000000, 0.60000000000000, 0.02373867288196
0.04761904761905, 21, 1.00000000000000, 0.60000000000000, 0.00666639735976
0.02439024390244, 41, 1.00000000000000, 0.60000000000000, 0.00177008387770
0.01242236024845, 81, 0.75000000000000, 0.60000000000000, 0.00012287910550
0.01234567901235, 81, 1.00000000000000, 1.00000000000000, 0.00020741132128
0.09090909090909, 11, 1.00000000000000, 0.50500000000000, 0.03193930588898
0.02469135802469, 41, 0.75000000000000, 0.50500000000000, 0.00100940585534
0.04761904761905, 21, 1.00000000000000, 0.50500000000000, 0.00896933701410
0.01639344262295, 61, 1.00000000000000, 0.60000000000000, 0.00080292480659
0.01234567901235, 81, 1.00000000000000, 0.60000000000000, 0.00045630723382
0.02439024390244, 41, 1.00000000000000, 0.50500000000000, 0.00238157574190
0.01680672268908, 61, 0.25000000000000, 0.50500000000000, 0.00029904843313
0.01652892561983, 61, 0.75000000000000, 0.50500000000000, 0.00045328855582
0.01639344262295, 61, 1.00000000000000, 0.50500000000000, 0.00108031922678
0.01257861635220, 81, 0.25000000000000, 0.50500000000000, 0.00016732097856
0.01242236024845, 81, 0.75000000000000, 0.50500000000000, 0.00025632598442
