"Lattice Size", "NY", "Tau", "Error"
0.02500000000000, 39, 3.00000000000000, 0.04998783253269
0.01250000000000, 79, 3.00000000000000, 0.01370195650497
0.00833333333333, 119, 3.00000000000000, 0.00569032546606
0.02500000000000, 39, 2.00000000000000, 0.02190891609002
0.01250000000000, 79, 2.00000000000000, 0.00608982807856
0.00625000000000, 159, 3.00000000000000, 0.00320617328178
0.00833333333333, 119, 2.00000000000000, 0.00250369898982
0.00500000000000, 199, 3.00000000000000, 0.00213265219883
0.00625000000000, 159, 2.00000000000000, 0.00140154459525
0.02500000000000, 39, 1.00000000000000, 0.00627399827709
0.01250000000000, 79, 1.00000000000000, 0.00170194274615
0.00416666666667, 239, 3.00000000000000, 0.00142582440908
0.00833333333333, 119, 1.00000000000000, 0.00073806970847
0.00500000000000, 199, 2.00000000000000, 0.00093399289315
0.00625000000000, 159, 1.00000000000000, 0.00040476823985
0.02500000000000, 39, 0.60000000000000, 0.00330093282960
0.00416666666667, 239, 2.00000000000000, 0.00062068185837
0.01250000000000, 79, 0.60000000000000, 0.00077416212764
0.00500000000000, 199, 1.00000000000000, 0.00025714589607
0.00833333333333, 119, 0.60000000000000, 0.00037449286076
0.00416666666667, 239, 1.00000000000000, 0.00017721807600
0.02500000000000, 39, 0.50500000000000, 0.00282530562886
0.00625000000000, 159, 0.60000000000000, 0.00020815042579
0.01250000000000, 79, 0.50500000000000, 0.00061509936718
0.00500000000000, 199, 0.60000000000000, 0.00011882886657
0.00416666666667, 239, 0.60000000000000, 0.00009042244843
0.00833333333333, 119, 0.50500000000000, 0.00030950421026
0.00625000000000, 159, 0.50500000000000, 0.00017597306319
0.00500000000000, 199, 0.50500000000000, 0.00009582986985
0.00416666666667, 239, 0.50500000000000, 0.00007658843621
