"Lattice Size", "NY", "Gamma", "Tau", "Error"
0.10526315789474, 11, 0.25000000000000, 3.00000000000000, 0.06359774903195
0.05128205128205, 21, 0.25000000000000, 3.00000000000000, 0.01489262628551
0.10526315789474, 11, 0.25000000000000, 2.00000000000000, 0.04283113710317
0.05128205128205, 21, 0.25000000000000, 2.00000000000000, 0.01002972790655
0.02531645569620, 41, 0.25000000000000, 3.00000000000000, 0.00360625160935
0.02531645569620, 41, 0.25000000000000, 2.00000000000000, 0.00242870006316
0.01680672268908, 61, 0.25000000000000, 3.00000000000000, 0.00158598707838
0.10526315789474, 11, 0.25000000000000, 1.00000000000000, 0.02206452517438
0.05128205128205, 21, 0.25000000000000, 1.00000000000000, 0.00516682952774
0.01680672268908, 61, 0.25000000000000, 2.00000000000000, 0.00106811374045
0.02531645569620, 41, 0.25000000000000, 1.00000000000000, 0.00125114849197
0.01257861635220, 81, 0.25000000000000, 3.00000000000000, 0.00088744825411
0.10526315789474, 11, 0.25000000000000, 0.60000000000000, 0.01375788040330
0.05128205128205, 21, 0.25000000000000, 0.60000000000000, 0.00322167015049
0.01257861635220, 81, 0.25000000000000, 2.00000000000000, 0.00059766918399
0.01680672268908, 61, 0.25000000000000, 1.00000000000000, 0.00055024030412
0.02531645569620, 41, 0.25000000000000, 0.60000000000000, 0.00078012757643
0.01257861635220, 81, 0.25000000000000, 1.00000000000000, 0.00030788993308
0.01680672268908, 61, 0.25000000000000, 0.60000000000000, 0.00034309019941
0.01257861635220, 81, 0.25000000000000, 0.60000000000000, 0.00019197702989
0.09523809523810, 11, 0.75000000000000, 1.00000000000000, 0.02322189810840
0.04878048780488, 21, 0.75000000000000, 1.00000000000000, 0.00616813531870
0.02469135802469, 41, 0.75000000000000, 1.00000000000000, 0.00159014454471
0.02531645569620, 41, 0.25000000000000, 0.50500000000000, 0.00066825090792
0.01652892561983, 61, 0.75000000000000, 1.00000000000000, 0.00071405816298
0.09523809523810, 11, 0.75000000000000, 2.00000000000000, 0.03937626201001
0.04878048780488, 21, 0.75000000000000, 2.00000000000000, 0.01045901206085
0.02469135802469, 41, 0.75000000000000, 2.00000000000000, 0.00269633200357
0.01652892561983, 61, 0.75000000000000, 2.00000000000000, 0.00121079403906
0.01242236024845, 81, 0.75000000000000, 2.00000000000000, 0.00068460320796
0.09090909090909, 11, 1.00000000000000, 1.00000000000000, 0.04675799203879
0.04761904761905, 21, 1.00000000000000, 1.00000000000000, 0.01313078260498
0.02439024390244, 41, 1.00000000000000, 1.00000000000000, 0.00348652807639
0.01242236024845, 81, 0.75000000000000, 1.00000000000000, 0.00040374061789
0.01639344262295, 61, 1.00000000000000, 1.00000000000000, 0.00158151686125
0.01234567901235, 81, 1.00000000000000, 1.00000000000000, 0.00089878399442
0.01680672268908, 61, 0.25000000000000, 0.50500000000000, 0.00029386996679
0.01257861635220, 81, 0.25000000000000, 0.50500000000000, 0.00016442357125
